timestamp,connect,service,status
1431586678,1,4,200
1431586681,1,2,200
1431586693,2,5,200
1431586701,2,10,200
1431586704,5,3,200
1431586715,1,8,200
1431586726,1,2,200
1431586737,1,1,200
1431586748,1,3,200
1431586753,2,4,200
1431586755,2,3,200
1431586759,1,4,200
1431586759,2,2,200
1431586760,1,3,200
1431586770,1,2,200
1431586781,1,1,200
1431586792,1,2,200
1431586802,1,1,200
1431586803,1,7,200
1431586814,1,2,200
1431586815,0,1,200
1431586821,0,1,200
1431586823,0,1,200
1431586824,1,2,406
1431586825,1,2,200
1431586826,0,1,406
1431586836,1,2,200
1431586847,1,2,200
1431586851,1,2,200
1431586858,1,2,200
1431586869,1,27,200
1431586880,1,2,200
1431586891,12,14,200
1431586895,7,2,200
1431586902,1,2,200
1431586910,0,1,200
1431586913,1,2,200
1431586924,1,1,200
1431586924,0,2,200
1431586924,0,4,200
1431586935,1,2,200
1431586945,0,1,200
1431586946,1,3,200
1431586950,1,26,200
1431586951,1,2,200
1431586957,1,4,200
1431586958,3,6,200
1431586960,2,2,200
1431586968,2,4,200
1431586969,6,4,200
1431586979,3,5,200
1431586991,1,9,200
1431587002,17,10,200
1431587013,0,1,200
1431587024,0,1,200
1431587035,0,1,200
1431587046,0,1,200
1431587055,1,2,200
1431587055,1,2,200
1431587057,0,1,200
1431587068,0,2,200
1431587074,0,1,200
1431587079,1,2,200
1431587090,1,2,200
1431587101,1,2,200
1431587102,0,1,200
1431587103,2,2,200
1431587112,1,2,200
1431587123,2,2,200
1431587126,2,1,200
1431587129,0,1,200
1431587133,3,2,200
1431587134,3,2,200
1431587145,1,2,200
1431587151,1,11,200
1431587156,1,9,200
1431587158,1,2,200
1431587167,1,2,200
1431587178,5,3,200
1431587189,1,2,200
1431587200,1,2,200
1431587201,0,1,200
1431587206,0,9,200
1431587208,1,1,200
1431587211,2,3,200
1431587213,1,2,200
1431587222,1,2,200
1431587226,1,7,200
1431587227,1,2,200
1431587228,1,2,200
1431587233,3,2,200
1431587244,1,5,200
1431587255,1,9,200
1431587264,2,8,200
1431587266,1,6,200
1431587276,1,2,200
1431587277,1,2,200
1431587281,1,2,200
1431587288,1,2,200
1431587299,1,2,200
1431587310,1,3,200
1431587318,0,1,200
1431587321,1,2,200
1431587333,1,2,200
1431587344,1,2,200
1431587352,1,2,200
1431587355,1,2,200
1431587355,0,1,200
1431587358,1,5,200
1431587365,2,5,200
1431587366,0,2,200
1431587377,0,5,200
1431587388,0,9,200
1431587399,0,1,200
1431587400,1,1,200
1431587401,0,1,200
1431587401,0,1,406
1431587402,1,2,200
1431587404,2,2,200
1431587410,0,7,200
1431587421,0,1,200
1431587428,0,1,200
1431587432,0,2,200
1431587434,0,1,200
1431587443,0,2,200
1431587444,2,4,200
1431587454,1,3,200
1431587465,4,5,200
1431587467,0,1,200
1431587475,1,2,200
1431587476,1,2,200
1431587487,0,1,200
1431587494,0,1,200
1431587498,0,6,200
1431587504,1,2,200
1431587508,0,2,200
1431587509,0,2,200
1431587520,1,2,200
1431587531,1,2,200
1431587536,1,4,200
1431587540,2,2,200
1431587542,1,2,200
1431587552,2,2,200
1431587553,1,3,200
1431587562,1,3,200
1431587564,1,2,200
1431587575,2,2,200
1431587586,1,2,200
1431587593,1,2,200
1431587598,2,4,200
1431587609,1,17,200
1431587620,1,2,200
1431587631,2,3,200
1431587635,0,1,200
1431587642,5,4,200
1431587645,0,1,200
1431587653,7,2,200
1431587664,1,2,200
1431587675,1,2,200
1431587678,1,5,200
1431587686,1,2,200
1431587697,1,2,200
1431587703,1,2,200
1431587707,6,8,200
1431587708,1,2,200
1431587713,3,8,200
1431587719,1,2,200
1431587730,4,2,200
1431587741,1,2,200
1431587752,1,2,200
1431587763,1,2,200
1431587774,1,2,200
1431587785,1,2,200
1431587796,1,4,200
1431587796,1,4,200
1431587807,1,2,200
1431587818,1,2,200
1431587823,1,3,200
1431587829,1,3,200
1431587840,1,3,200
1431587851,3,4,200
1431587862,1,2,200
1431587873,1,3,200
1431587885,2,7,200
1431587888,1,2,200
1431587896,1,2,200
1431587907,1,3,200
1431587918,1,4,200
1431587929,2,6,200
1431587940,1,6,200
1431587942,1,2,200
1431587951,2,2,200
1431587955,3,1,200
1431587962,1,3,200
1431587963,1,2,200
1431587964,0,5,200
1431587964,0,2,200
1431587965,1,2,200
1431587973,1,2,200
1431587984,2,3,200
1431587995,1,3,200
1431588003,2,2,200
1431588006,2,4,200
1431588017,2,3,200
1431588028,2,2,200
1431588038,0,5,200
1431588039,5,3,200
1431588042,2,4,200
1431588050,4,2,200
1431588061,1,2,200
1431588072,1,2,200
1431588083,1,2,200
1431588094,3,6,200
1431588105,1,21,200
1431588107,1,3,200
1431588107,0,4,200
1431588116,4,3,200
1431588127,2,3,200
1431588131,0,1,200
1431588134,1,4,200
1431588138,1,3,200
1431588149,2,2,200
1431588160,1,3,200
1431588171,1,3,200
1431588182,1,3,200
1431588193,2,2,200
1431588198,2,2,200
1431588202,1,5,200
1431588205,1,2,200
1431588214,2,3,200
1431588216,1,2,200
1431588227,2,3,200
1431588238,2,3,200
1431588249,1,7,200
1431588260,1,2,200
1431588265,1,3,200
1431588266,1,4,200
1431588269,5,2,406
1431588270,1,2,406
1431588271,1,6,200
1431588282,1,2,200
1431588293,1,3,200
1431588301,3,2,200
1431588302,1,2,200
1431588304,1,2,200
1431588315,8,11,200
1431588326,2,3,200
1431588337,1,3,200
1431588348,1,2,200
1431588359,1,2,200
1431588370,1,3,200
1431588381,2,5,200
1431588390,1,1,200
1431588392,0,2,200
1431588400,2,3,200
1431588402,1,2,200
1431588403,11,11,200
1431588414,0,1,200
1431588425,0,3,200
1431588436,0,2,200
1431588447,0,1,200
1431588458,0,1,200
1431588469,0,1,200
1431588480,0,6,200
1431588491,0,1,200
1431588498,0,2,200
1431588502,0,2,200
1431588514,0,13,200
1431588517,2,1,200
1431588518,1,2,200
1431588525,3,2,200
1431588528,0,6,200
1431588536,0,1,200
1431588539,1,3,200
1431588547,0,2,200
1431588558,1,3,200
1431588558,7,3,200
1431588569,0,1,200
1431588578,1,2,200
1431588580,0,5,200
1431588591,0,8,200
1431588602,1,9,200
1431588602,1,6,200
1431588613,0,1,200
1431588624,0,1,200
1431588635,0,2,200
1431588641,1,2,200
1431588646,0,1,200
1431588655,0,2,200
1431588657,2,2,200
1431588666,1,2,200
1431588667,1,2,200
1431588667,7,2,200
1431588668,1,2,200
1431588679,1,2,200
1431588684,1,2,200
1431588689,1,2,200
1431588690,1,5,200
1431588690,5,2,200
1431588693,0,1,200
1431588699,7,2,200
1431588701,2,3,200
1431588712,1,3,200
1431588713,0,1,200
1431588723,1,2,200
1431588734,1,3,200
1431588745,1,2,200
1431588756,1,3,200
1431588767,1,3,200
1431588778,3,4,200
1431588789,1,2,200
1431588800,1,2,200
1431588811,1,8,200
1431588822,1,2,200
1431588827,2,3,200
1431588832,1,1,200
1431588834,0,1,200
1431588845,1,1,200
1431588856,0,1,200
1431588865,1,2,200
1431588865,1,2,200
1431588867,0,3,200
1431588868,3,2,200
1431588869,2,3,200
1431588874,4,2,200
1431588878,0,1,200
1431588889,0,2,200
1431588893,2,8,200
1431588900,0,1,200
1431588902,4,2,200
1431588911,0,1,200
1431588922,1,3,200
1431588932,0,2,200
1431588933,0,1,200
1431588944,1,3,200
1431588955,0,1,200
1431588966,1,3,200
1431588977,1,3,200
1431588988,1,2,200
1431588999,1,2,200
1431589003,1,3,200
1431589010,1,2,200
1431589021,3,3,200
1431589032,1,5,200
1431589043,1,3,200
1431589054,1,2,200
1431589065,0,1,200
1431589076,0,2,200
1431589080,2,2,200
